home_name,away_name,home_goals,away_goals,home_penalties,away_penalties,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal,home_possession,away_possesion,home_yellow,away_yellow,home_red,away_red
CARP,ROS,2,0,0,0,15,3,6,0,58,42,1,4,0,0
BEL,CABJ,0,1,0,0,11,8,2,3,45,55,4,4,0,0
QUI,GCM,2,2,0,1,15,14,8,5,33,67,4,1,0,0
RAF,LAN,2,1,0,0,9,20,4,6,35,65,0,1,1,0
ARS,OBB,1,0,0,0,5,7,1,2,36,64,0,2,0,0
TIG,RAC,4,0,0,0,6,7,5,3,37,63,3,4,0,0
GLP,ROS,1,2,0,1,20,11,3,6,54,46,2,2,0,0
NOB,BEL,3,3,2,0,12,13,9,5,65,35,3,2,0,0
IND,VEL,0,4,0,0,10,15,3,8,56,44,0,1,0,0
SL,BAN,0,2,0,0,11,21,3,9,52,48,3,2,1,0
LAN,EST,2,1,0,0,14,13,4,5,49,51,3,5,0,0
DYJ,QUI,1,1,0,0,12,9,3,4,65,35,1,2,1,1
CABJ,RAF,0,3,0,0,17,6,8,3,63,37,2,3,0,0
GCM,CARP,0,4,0,0,15,17,3,9,45,55,3,3,1,0
BEL,GLP,0,0,0,0,12,8,3,2,51,49,3,3,0,0
OBB,IND,1,2,1,0,7,13,5,7,36,64,1,3,1,0
RAC,ARS,1,0,1,0,19,10,3,3,62,38,2,1,0,0
RAF,NOB,2,3,0,0,21,14,7,7,51,49,3,2,0,0
ROS,GCM,0,1,0,0,15,7,3,2,55,45,2,3,1,1
CARP,DYJ,3,0,0,0,25,11,11,3,59,41,1,2,0,0
EST,CABJ,3,1,0,0,14,8,3,3,44,56,1,2,0,0
BAN,TIG,1,0,0,0,19,11,6,0,49,51,3,3,0,1
VEL,LAN,1,0,0,0,11,11,4,4,53,47,1,2,0,0
QUI,SL,0,3,0,1,13,12,6,4,52,48,5,1,0,0
GLP,GCM,2,0,0,0,11,9,4,6,47,53,3,2,0,0
DYJ,ROS,1,3,0,0,18,13,7,5,57,43,1,5,0,0
NOB,EST,1,0,0,0,12,7,4,2,61,39,4,2,0,0
BEL,RAF,3,0,0,0,28,8,12,0,47,53,1,2,0,0
IND,RAC,2,1,0,0,10,11,5,2,49,51,4,2,0,0
CABJ,VEL,3,1,0,0,20,6,7,4,53,47,2,2,1,0
SL,CARP,1,3,0,0,8,10,1,3,39,61,2,3,2,0
LAN,OBB,1,1,0,0,7,9,0,4,64,36,3,2,0,0
ARS,BAN,1,0,0,0,8,10,3,0,39,61,1,0,0,1
TIG,QUI,0,0,0,0,9,12,2,0,52,48,5,3,0,0
RAF,GLP,2,0,1,0,17,13,7,4,49,51,1,3,0,1
VEL,NOB,0,0,0,0,22,4,7,0,57,43,0,2,0,0
EST,BEL,3,1,0,0,12,11,3,1,56,44,1,2,1,0
BAN,IND,0,1,0,0,10,15,2,4,46,54,1,4,1,0
ROS,SL,1,1,0,0,19,7,8,4,62,38,1,3,0,0
GCM,DYJ,1,1,0,0,16,11,3,3,53,47,2,1,0,0
RAC,LAN,1,3,0,1,21,9,6,5,54,46,4,3,1,0
CARP,TIG,2,0,0,0,22,2,11,0,62,38,1,2,0,1
QUI,ARS,4,0,0,0,13,16,8,3,46,54,5,4,0,0
GLP,DYJ,0,3,0,0,9,10,4,5,46,54,1,1,0,0
SL,GCM,2,1,1,0,13,13,5,2,45,55,1,1,0,0
TIG,ROS,4,1,1,0,17,13,7,4,38,62,4,3,0,0
RAF,EST,1,0,1,0,10,14,5,5,58,42,3,3,0,2
IND,QUI,5,3,2,1,19,10,12,4,64,36,2,5,0,0
LAN,BAN,1,0,0,0,8,18,1,3,48,52,3,3,0,2
BEL,VEL,1,0,0,0,15,4,7,0,33,67,3,2,0,0
NOB,OBB,1,0,1,0,9,7,2,4,72,28,2,3,0,0
QUI,LAN,0,2,0,1,14,15,4,5,43,57,2,2,0,0
EST,GLP,0,0,0,0,10,8,1,3,50,50,1,4,0,0
OBB,BEL,1,0,0,0,14,19,4,3,57,43,2,5,0,1
VEL,RAF,0,0,0,1,14,12,4,4,58,42,5,2,0,0
ROS,ARS,3,1,0,0,19,10,6,3,67,33,0,4,0,0
BAN,CABJ,1,1,0,0,18,6,9,4,51,49,2,3,0,0
CARP,IND,4,1,0,0,12,13,6,5,47,53,3,3,0,0
DYJ,SL,1,3,0,0,18,10,4,6,64,36,3,4,0,0
RAC,NOB,1,1,0,0,20,6,7,3,43,57,3,2,0,0
CABJ,RAC,1,2,0,0,12,9,3,3,60,40,3,2,0,0
ARS,CARP,1,1,1,0,14,19,7,6,34,66,1,3,0,0
EST,VEL,3,2,0,1,22,7,9,3,58,42,3,4,0,0
RAF,OBB,0,0,0,0,20,10,6,3,61,39,2,1,0,0
IND,ROS,2,0,0,0,16,13,7,2,59,41,1,4,1,0
SL,GLP,0,2,0,0,11,14,3,5,60,40,2,1,0,0
TIG,DYJ,2,1,0,0,14,19,6,6,43,57,0,4,0,0
BEL,RAC,1,4,0,0,10,18,2,10,43,57,2,2,2,0
CABJ,QUI,1,0,0,0,16,6,3,1,62,38,2,5,0,0
LAN,CARP,1,1,0,0,12,18,2,5,39,61,4,4,0,0
ARS,GCM,3,0,0,0,9,15,6,5,40,60,0,3,0,0
NOB,BAN,0,3,1,0,12,15,6,11,61,39,0,3,0,0
SL,OBB,2,0,1,0,11,6,5,0,58,42,4,0,0,0
GLP,VEL,2,0,0,0,11,8,4,2,46,54,2,4,0,0
BAN,BEL,2,2,1,0,22,16,9,6,66,34,1,2,0,0
SL,TIG,0,2,0,0,13,6,6,5,70,30,1,2,0,0
DYJ,ARS,2,1,1,0,15,12,6,2,59,41,1,2,0,1
OBB,EST,1,2,0,0,16,10,4,4,56,44,4,1,1,0
QUI,NOB,1,1,0,0,14,12,5,2,40,60,0,2,0,0
CARP,CABJ,1,1,0,0,15,5,5,4,56,44,3,2,1,1
RAC,RAF,0,2,0,0,29,17,7,3,51,49,2,1,0,0
ROS,LAN,1,2,0,0,18,13,9,7,50,50,2,2,0,0
GCM,IND,2,2,0,0,23,11,6,4,48,52,2,4,0,1
TIG,GLP,1,0,1,0,14,12,3,2,41,59,5,3,0,0
LAN,GCM,3,3,0,0,13,28,6,10,47,53,2,3,1,0
VEL,OBB,4,1,0,0,13,14,7,2,55,45,1,2,0,0
BEL,QUI,1,1,0,0,17,10,3,2,55,45,0,2,0,0
EST,RAC,0,4,0,0,10,11,2,5,62,38,0,0,0,0
RAF,BAN,2,2,0,0,18,12,6,4,46,54,3,1,0,1
IND,DYJ,1,1,0,0,19,14,7,4,56,44,1,3,0,0
CABJ,ROS,2,1,0,0,13,6,4,1,64,36,3,4,0,1
NOB,CARP,0,1,0,0,5,13,2,4,59,41,0,1,0,0
ARS,SL,0,0,0,0,13,12,5,2,51,49,2,2,0,0
GCM,TIG,4,3,0,0,25,8,9,4,74,26,4,3,0,1
GLP,OBB,0,0,0,0,11,4,2,3,59,41,0,2,1,0
QUI,RAF,0,0,0,0,18,7,9,2,49,51,0,2,0,0
BAN,EST,1,1,0,0,18,10,7,4,60,40,1,1,0,1
SL,IND,1,2,0,1,12,12,3,4,51,49,4,2,0,0
DYJ,LAN,1,2,1,0,19,9,2,4,64,36,2,4,1,0
ROS,NOB,2,0,0,0,9,11,3,1,33,67,2,3,0,2
RAC,VEL,2,0,0,0,11,14,5,4,40,60,3,6,0,0
CARP,BEL,3,0,0,0,11,9,3,3,63,37,1,4,0,0
GCM,CABJ,2,3,0,0,17,18,9,9,45,55,1,3,0,0
TIG,ARS,1,1,0,0,14,13,6,5,55,45,4,2,0,0
BEL,ROS,1,0,0,0,15,11,1,2,39,61,2,1,0,0
IND,TIG,3,1,0,0,20,4,9,1,65,35,2,2,0,0
VEL,BAN,1,0,0,0,13,10,4,2,43,57,1,3,0,0
NOB,GCM,2,2,0,0,19,9,8,4,49,51,0,1,0,0
OBB,RAC,1,1,0,0,25,13,6,3,49,51,5,2,0,1
EST,QUI,1,0,0,0,11,13,4,4,65,35,3,4,0,1
LAN,SL,1,0,0,0,12,9,2,1,42,58,5,1,0,0
CABJ,DYJ,2,0,0,0,17,11,3,2,48,52,2,4,0,0
RAF,CARP,1,2,0,0,14,23,4,5,38,62,4,3,0,0
ARS,GLP,1,0,0,0,15,9,6,1,42,58,0,0,0,0
BAN,OBB,3,0,0,0,12,10,4,2,59,41,0,2,0,0
GCM,BEL,1,3,0,0,11,19,3,9,64,36,4,2,0,0
GLP,RAC,0,1,0,0,13,11,3,3,55,45,2,4,0,0
QUI,VEL,2,1,0,0,10,8,7,1,28,72,3,3,0,0
ROS,RAF,0,2,0,0,6,13,2,8,53,47,0,2,0,0
SL,CABJ,2,0,0,0,9,7,3,0,41,59,1,3,0,0
LAN,ARS,3,2,0,0,15,9,7,4,60,40,3,3,0,0
RAF,GCM,3,4,0,0,24,17,10,5,52,48,2,3,0,0
OBB,QUI,2,1,0,0,9,10,7,2,46,54,2,3,0,0
BEL,DYJ,3,0,0,0,16,11,7,1,34,66,2,1,0,0
IND,GLP,0,1,0,0,16,14,5,6,59,41,1,0,0,0
EST,ROS,1,0,0,0,10,9,3,2,47,53,3,4,0,0
RAC,BAN,1,0,0,0,6,17,4,8,36,64,2,2,0,0
CABJ,TIG,2,0,1,0,14,6,8,0,65,35,4,4,0,0
VEL,CARP,1,1,0,0,9,13,3,6,49,51,5,5,0,0
NOB,SL,3,1,0,0,11,12,4,4,49,51,0,0,0,0
TIG,LAN,3,0,0,0,16,6,7,2,53,47,3,2,0,1
CARP,EST,0,1,0,0,13,10,2,5,68,32,3,1,0,1
ARS,IND,1,1,0,0,7,8,5,1,39,61,1,3,0,0
DYJ,RAF,2,1,0,1,12,17,5,5,53,47,2,2,0,0
ROS,VEL,0,0,0,0,14,8,5,4,51,49,3,3,0,0
GLP,BAN,1,1,0,0,16,13,8,6,44,56,2,2,0,0
SL,BEL,4,0,1,0,9,4,5,3,77,23,1,1,0,1
QUI,RAC,0,1,1,0,16,17,4,8,50,50,0,2,1,1
GCM,EST,1,1,0,0,13,10,7,2,44,56,2,3,0,0
TIG,NOB,1,2,0,0,16,11,8,6,56,44,1,2,0,1
CARP,OBB,1,1,0,0,14,10,7,4,68,32,3,1,0,1
ARS,CABJ,1,1,0,0,14,21,5,8,40,60,1,3,0,0
IND,LAN,4,1,0,0,14,9,9,3,51,49,2,2,0,2
DYJ,NOB,1,0,0,0,13,20,5,3,38,62,3,2,1,0
BAN,QUI,3,1,1,0,17,10,5,4,66,34,2,2,0,0
RAF,SL,2,0,0,0,22,4,4,1,50,50,0,1,0,0
OBB,ROS,1,1,0,0,11,13,5,5,46,54,1,3,0,0
VEL,GCM,1,4,0,1,15,14,4,9,55,45,5,2,0,0
LAN,GLP,2,0,0,0,17,10,7,4,45,55,1,0,0,0
BEL,TIG,1,2,0,0,10,15,1,7,48,52,4,5,0,0
EST,DYJ,0,0,0,0,16,12,2,6,57,43,1,3,0,0
CABJ,IND,3,1,0,0,14,8,3,1,50,50,3,1,0,1
RAC,CARP,1,0,0,0,9,7,1,3,43,57,3,4,0,0
NOB,ARS,2,4,0,0,12,13,7,6,66,34,2,3,1,0
GLP,QUI,3,0,1,0,10,10,6,1,48,52,1,3,0,0
DYJ,VEL,0,2,0,0,17,14,3,5,47,53,1,5,0,0
SL,EST,4,0,2,0,9,10,7,5,52,48,4,4,0,0
IND,NOB,1,0,0,0,11,5,4,4,42,58,1,1,1,0
ROS,RAC,0,3,0,0,17,11,2,5,56,44,3,1,0,0
TIG,RAF,3,1,0,0,13,22,3,5,43,57,6,3,0,0
CARP,BAN,3,2,1,1,12,12,6,6,54,46,3,2,1,0
LAN,CABJ,2,2,0,0,14,18,7,7,39,61,2,5,0,1
GCM,OBB,0,3,0,1,16,15,6,7,53,47,2,1,0,0
ARS,BEL,0,2,0,0,11,14,0,5,57,43,3,3,0,0
EST,TIG,4,2,0,0,13,6,6,2,63,37,3,4,0,1
VEL,SL,0,2,0,0,12,6,3,3,66,34,2,1,0,0
RAF,ARS,1,6,0,0,14,16,7,9,62,38,4,0,0,0
BAN,ROS,2,3,1,0,14,10,5,4,64,36,1,4,0,0
OBB,DYJ,0,0,0,0,13,10,2,5,49,51,2,3,0,0
BEL,IND,4,0,0,0,18,10,8,2,32,68,1,3,0,1
NOB,LAN,0,0,0,0,27,11,8,1,64,36,1,2,0,0
CABJ,GLP,0,2,0,0,22,7,9,3,72,28,1,1,0,0
QUI,CARP,0,1,0,0,3,14,0,4,31,69,2,2,0,0
RAC,GCM,1,0,0,0,14,6,6,1,48,52,1,5,0,0
CABJ,VEL,1,0,0,0,11,7,5,0,59,41,2,2,1,2
VEL,ALDO,2,0,0,0,15,19,4,5,48,52,2,6,1,0
RAC,ROS,0,1,0,0,11,11,3,4,64,36,5,4,0,0
GLP,DYJ,0,1,0,0,16,8,4,3,49,51,2,3,0,0
SL,COL,2,0,0,0,15,8,8,0,63,37,0,1,0,0
GCM,SMSJ,1,1,1,0,10,8,4,1,39,61,4,1,0,0
NOB,IND,2,3,1,1,13,10,6,4,63,37,1,4,1,0
BAN,TEMP,0,1,0,0,22,6,7,4,73,27,3,4,0,2
CRU,TIG,0,0,0,0,19,9,2,2,52,48,2,2,0,0
QUI,LAN,0,1,0,0,7,13,1,2,47,53,2,3,0,0
USF,HUR,1,0,0,0,16,2,5,0,58,42,1,1,0,0
CABJ,OBB,3,1,1,0,12,7,6,2,73,27,0,4,0,0
ARGJ,RAF,2,0,0,0,8,6,5,2,48,52,1,1,0,0
ARS,EST,0,1,0,0,9,12,5,4,53,47,2,3,0,0
BEL,NCHI,3,1,0,1,13,14,4,3,43,57,3,1,1,1
RAF,BAN,1,4,1,0,20,12,10,8,53,47,3,2,0,0
HUR,ARS,1,0,0,0,7,10,2,3,43,57,1,3,0,0
EST,GCM,2,1,1,0,14,10,6,2,56,44,2,6,0,0
ROS,TIG,2,1,0,0,17,6,4,0,63,37,1,1,0,2
OBB,RAC,0,0,0,0,6,18,2,6,38,62,2,2,1,0
VEL,CRU,2,1,0,0,21,8,4,5,66,34,0,0,0,0
SMSJ,GLP,1,1,1,0,21,6,4,2,64,36,2,2,1,1
ALDO,NOB,0,1,0,0,13,5,0,2,52,48,3,1,0,0
IND,SARM,1,1,0,0,16,12,6,2,60,40,3,3,0,0
NCHI,USF,2,2,1,0,19,15,7,4,65,35,2,4,0,1
CARP,QUI,2,2,0,0,17,8,4,4,67,33,4,3,0,0
COL,ARGJ,1,1,0,0,13,6,8,3,45,55,2,3,0,0
TEMP,CABJ,0,2,0,1,18,16,7,6,43,57,4,4,0,1
LAN,BEL,0,0,0,0,13,11,3,3,64,36,3,2,0,1
DYJ,SL,1,2,0,0,12,10,3,4,51,49,1,2,0,0
ARS,NCHI,1,1,0,0,16,9,3,2,55,45,0,0,0,1
GCM,HUR,2,1,0,0,21,11,5,4,56,44,2,1,0,1
TIG,OBB,1,0,0,0,7,6,3,1,37,63,4,4,0,0
CRU,ROS,0,1,0,0,7,15,3,6,50,50,2,1,0,0
USF,LAN,1,1,0,0,17,9,4,2,45,55,4,6,0,1
QUI,IND,1,2,0,0,10,16,1,7,41,59,3,4,1,0
SL,SMSJ,1,2,0,0,23,11,7,8,58,42,2,3,0,0
GLP,EST,1,3,0,1,19,11,7,5,60,40,7,4,1,1
CABJ,RAF,1,0,0,0,14,6,6,4,70,30,2,2,0,1
ARGJ,DYJ,1,0,0,0,15,5,5,1,53,47,1,2,0,0
RAC,TEMP,2,1,0,0,9,19,3,4,61,39,1,3,1,0
BEL,CARP,1,2,0,0,12,16,4,4,40,60,3,3,0,0
SARM,ALDO,2,2,0,1,9,15,4,6,50,50,4,3,0,0
BAN,COL,0,0,0,0,16,12,3,2,65,35,3,4,0,0
NOB,VEL,0,0,0,0,5,8,1,2,54,46,3,4,0,0
HUR,GLP,1,1,0,0,15,15,5,5,53,47,1,2,1,1
RAF,RAC,1,1,0,0,18,12,5,2,52,48,2,2,0,0
NCHI,GCM,0,2,0,0,8,13,2,6,54,46,3,1,1,0
OBB,ROS,1,3,0,0,12,20,6,12,47,53,2,3,1,0
ALDO,QUI,1,1,0,0,12,3,2,2,69,31,4,5,0,1
IND,BEL,1,2,0,1,16,13,3,4,62,38,2,3,0,0
NOB,CRU,2,0,1,0,19,10,8,1,64,36,2,3,0,0
DYJ,BAN,1,0,0,0,14,14,4,4,39,61,3,3,0,0
LAN,ARS,0,0,0,0,13,14,2,5,61,39,1,2,0,0
VEL,SARM,1,1,0,0,22,11,8,2,66,34,2,5,0,0
CARP,USF,2,2,0,0,21,10,7,4,63,37,2,1,0,0
SMSJ,ARGJ,0,0,0,0,11,9,5,2,53,47,2,0,0,0
COL,CABJ,1,1,0,0,11,13,3,8,36,64,3,3,0,0
TEMP,TIG,1,1,0,0,12,14,3,7,46,54,3,6,0,0
EST,SL,0,2,0,0,11,12,1,3,59,41,3,2,0,0
CRU,OBB,0,0,0,0,11,15,2,1,53,47,1,4,0,0
RAC,COL,4,1,1,0,19,11,8,1,49,51,1,3,0,0
BAN,SMSJ,3,2,0,0,16,13,7,5,46,54,2,5,0,0
CABJ,DYJ,2,1,0,0,12,9,5,4,58,42,2,4,0,0
USF,IND,1,1,1,0,6,16,2,3,34,66,3,3,0,0
SARM,NOB,1,2,1,0,19,9,6,2,49,51,2,4,0,0
QUI,VEL,2,1,1,1,13,13,4,2,42,58,5,4,0,0
ARGJ,EST,2,2,0,1,21,6,6,2,68,32,2,4,1,1
SL,HUR,3,1,1,0,17,10,8,3,50,50,1,1,0,0
TIG,RAF,2,1,0,1,10,11,5,2,50,50,2,3,0,0
GCM,LAN,1,5,0,0,10,12,2,5,51,49,2,0,0,0
ROS,TEMP,1,0,0,0,11,10,4,4,60,40,2,3,1,0
BEL,ALDO,0,1,0,1,14,11,1,6,56,44,2,4,1,0
ARS,CARP,3,3,0,0,10,15,5,7,32,68,2,0,0,0
GLP,NCHI,2,1,0,0,14,13,5,4,48,52,4,5,0,0
NOB,QUI,1,1,0,0,16,6,2,1,72,28,4,4,0,0
LAN,GLP,2,0,0,0,17,11,5,5,54,46,1,5,0,0
COL,TIG,0,1,0,0,12,11,6,3,61,39,4,2,0,0
VEL,BEL,1,2,0,0,16,18,6,4,54,46,2,4,0,0
IND,ARS,4,0,0,0,14,7,7,3,58,42,3,2,0,0
HUR,ARGJ,4,0,0,0,13,19,6,3,50,50,0,2,0,0
SARM,CRU,2,1,1,0,20,7,7,3,64,36,2,4,0,1
RAF,ROS,1,1,1,0,7,17,4,7,34,66,2,4,1,0
DYJ,RAC,1,1,0,0,7,22,6,8,64,36,3,1,0,0
EST,BAN,1,2,0,0,10,26,2,10,49,51,2,2,0,0
CARP,GCM,1,0,1,0,15,7,8,1,62,38,1,3,0,1
SMSJ,CABJ,1,1,0,1,21,6,4,2,57,43,3,4,1,1
NCHI,SL,0,1,0,0,6,13,2,6,41,59,3,2,0,0
ALDO,USF,3,3,1,0,17,10,5,6,49,51,4,2,0,0
TEMP,OBB,0,0,0,0,7,9,0,1,55,45,2,4,1,0
QUI,SARM,0,4,0,0,10,9,3,5,55,45,4,1,0,0
ROS,COL,1,1,1,0,10,11,4,4,54,46,2,3,0,0
OBB,RAF,0,0,0,0,13,12,6,4,57,43,2,2,0,0
BAN,HUR,1,0,0,0,26,6,6,1,50,50,1,3,0,0
GCM,IND,2,2,1,0,12,11,6,4,37,63,2,4,0,0
SL,LAN,4,0,1,1,13,10,5,2,43,57,2,4,1,0
CRU,TEMP,1,0,0,0,15,12,4,2,48,52,4,2,0,0
BEL,NOB,2,0,1,0,14,8,7,3,31,69,4,4,1,0
RAC,SMSJ,2,0,0,0,18,15,5,2,39,61,1,2,0,0
CABJ,EST,3,0,0,0,16,7,4,1,66,34,1,3,0,2
USF,VEL,1,0,0,0,9,14,2,4,40,60,3,3,1,0
GLP,CARP,2,3,0,0,11,20,4,9,44,56,4,3,0,0
ARGJ,NCHI,1,1,0,0,16,7,5,3,57,43,1,3,0,1
TIG,DYJ,0,0,0,0,18,10,5,5,50,50,0,1,0,0
SARM,BEL,1,3,1,0,8,17,3,7,59,41,2,1,0,0
EST,RAC,1,1,0,0,14,15,5,3,57,43,2,4,0,0
RAF,TEMP,1,1,0,0,16,12,3,5,59,41,3,5,0,0
DYJ,ROS,3,3,0,0,13,18,5,6,47,53,2,0,0,0
ALDO,GCM,2,0,0,1,10,6,5,3,57,43,4,3,0,2
IND,GLP,1,1,0,0,14,10,8,4,69,31,2,4,0,0
VEL,ARS,2,1,1,0,16,9,7,3,56,44,4,4,0,2
CARP,SL,1,0,0,0,7,3,2,2,56,44,2,5,0,0
LAN,ARGJ,0,1,0,0,8,7,6,3,63,37,0,3,0,0
COL,OBB,1,0,0,0,10,10,2,1,59,41,2,3,0,0
HUR,CABJ,0,2,0,0,12,8,1,5,35,65,2,3,0,0
QUI,CRU,3,1,0,0,17,11,7,5,68,32,4,4,0,1
SMSJ,TIG,3,1,0,0,16,15,7,6,55,45,1,3,0,0
NCHI,BAN,1,2,0,0,13,16,4,7,47,53,1,0,0,0
NOB,USF,2,0,0,0,18,8,9,1,62,38,1,3,0,1
CRU,RAF,1,1,0,0,12,15,4,7,45,55,0,1,1,0
TEMP,COL,2,1,0,1,22,16,7,4,47,53,3,2,0,0
GCM,VEL,2,2,1,0,12,16,5,5,49,51,2,2,0,0
GLP,ALDO,4,1,0,0,15,9,4,2,52,48,1,3,0,0
ROS,SMSJ,2,1,0,0,11,8,5,1,52,48,3,4,0,0
RAC,HUR,2,0,0,0,19,3,7,1,61,39,0,1,0,1
SL,IND,1,0,0,0,6,14,3,2,41,59,4,1,0,0
BAN,LAN,1,2,0,1,18,14,5,6,60,40,2,3,2,2
OBB,DYJ,0,0,0,0,2,3,0,1,49,51,0,0,0,0
USF,SARM,0,1,0,0,19,10,6,6,55,45,2,4,0,1
CABJ,NCHI,0,0,0,0,22,6,5,3,72,28,3,3,0,0
ARGJ,CARP,1,2,0,0,8,12,5,5,47,53,4,2,0,0
ARS,NOB,3,0,0,0,18,15,7,2,27,73,2,1,0,0
TIG,EST,2,0,0,0,9,11,2,3,42,58,5,2,0,0
BEL,QUI,2,1,0,0,19,5,8,2,59,41,1,2,0,0
EST,ROS,1,1,0,0,7,13,4,2,41,59,0,2,0,0
SARM,ARS,2,0,0,0,10,12,2,5,57,43,2,5,0,0
HUR,TIG,1,2,0,0,9,16,3,4,47,53,2,2,1,0
DYJ,TEMP,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IND,ARGJ,0,0,0,0,13,5,6,3,58,42,0,1,0,1
VEL,GLP,0,1,0,0,9,13,3,4,57,43,3,1,0,0
BEL,CRU,1,0,0,0,17,4,4,1,68,32,7,3,0,1
NCHI,RAC,0,0,0,0,16,17,3,4,50,50,1,2,0,0
ALDO,SL,1,0,0,0,17,16,4,6,41,59,2,3,0,0
CARP,BAN,4,1,0,0,20,12,9,5,60,40,1,0,0,0
SMSJ,OBB,2,0,0,0,19,11,5,7,47,53,3,2,0,1
LAN,CABJ,1,3,0,1,12,25,5,10,36,64,1,2,0,0
QUI,USF,1,3,1,1,14,14,9,7,47,53,3,4,2,0
COL,RAF,2,1,0,0,15,12,8,6,40,60,3,2,0,1
NOB,GCM,2,0,0,0,8,9,3,3,51,49,3,3,0,0
ARS,ALDO,0,3,0,0,16,14,5,7,56,44,1,0,0,0
GCM,SARM,1,0,0,1,8,9,3,2,49,51,3,3,0,0
OBB,EST,0,0,0,0,9,10,2,4,34,66,4,0,0,0
GLP,NOB,0,0,0,0,7,12,2,5,42,58,2,3,0,0
SL,VEL,1,0,0,0,16,12,3,6,56,44,4,6,0,1
ARGJ,ALDO,0,1,0,0,15,8,2,6,67,33,4,3,0,0
RAC,LAN,2,0,0,0,14,12,2,2,41,59,1,3,0,1
ROS,HUR,1,1,0,1,16,8,5,4,65,35,2,5,0,1
RAF,DYJ,2,1,0,0,14,10,5,2,46,54,1,0,0,0
BAN,IND,1,1,0,0,15,22,4,7,56,44,1,4,0,0
TIG,NCHI,2,0,1,0,16,14,5,4,42,58,1,4,0,0
CABJ,CARP,2,0,0,0,13,9,4,2,52,48,2,2,0,0
USF,BEL,1,1,0,0,19,11,5,5,58,42,0,1,0,1
ARS,QUI,0,1,0,1,9,10,3,5,46,54,4,2,1,0
CRU,COL,0,0,0,0,15,16,2,3,58,42,1,2,0,0
TEMP,SMSJ,0,1,0,0,12,10,3,2,49,51,1,3,0,0
NCHI,ROS,0,2,0,0,12,16,3,7,52,48,1,1,0,0
LAN,TIG,1,1,0,0,8,23,5,7,50,50,1,3,1,0
EST,TEMP,2,1,0,0,14,10,5,4,61,39,3,3,0,0
QUI,GCM,0,0,0,0,7,18,1,6,51,49,4,4,1,0
HUR,OBB,1,3,1,0,12,13,4,6,50,50,3,5,0,0
USF,CRU,5,2,1,0,24,15,10,5,51,49,2,3,1,2
NOB,SL,1,1,0,0,12,10,4,7,64,36,0,1,1,0
VEL,ARGJ,0,1,0,1,10,8,1,1,57,43,3,3,2,1
ALDO,BAN,0,3,0,0,8,12,4,4,47,53,6,2,0,0
BEL,ARS,2,0,0,0,15,9,4,2,51,49,4,4,0,1
CARP,RAC,0,0,0,0,15,8,3,2,66,34,2,1,0,0
SMSJ,RAF,1,1,0,0,8,14,5,3,51,49,1,2,0,0
IND,CABJ,1,1,0,0,19,11,11,5,47,53,1,2,1,0
SARM,GLP,0,0,0,0,14,8,4,4,59,41,2,3,0,1
DYJ,COL,2,3,0,0,15,15,5,5,52,48,1,5,2,0
GLP,QUI,3,2,0,1,20,8,3,3,55,45,3,3,1,1
CRU,DYJ,3,1,0,0,19,10,6,2,49,51,1,3,0,1
TEMP,HUR,0,0,0,0,23,11,9,2,49,51,1,5,0,0
ARS,USF,1,1,0,0,12,12,4,5,45,55,2,0,0,1
ROS,LAN,1,1,1,0,19,14,3,6,61,39,3,3,0,0
COL,SMSJ,2,2,0,0,12,15,4,5,41,59,1,2,0,0
OBB,NCHI,0,0,0,0,14,4,8,3,55,45,0,2,0,0
SL,SARM,3,0,0,0,10,15,7,4,50,50,2,2,0,0
RAF,EST,1,2,0,0,8,9,3,6,42,58,2,5,0,0
RAC,IND,1,0,1,0,17,18,7,4,42,58,3,2,0,1
ARGJ,NOB,2,1,0,0,15,12,7,4,51,49,1,2,0,1
CABJ,ALDO,0,3,0,0,23,8,9,5,69,31,3,4,1,0
GCM,BEL,1,0,0,0,12,6,1,0,51,49,3,5,0,1
NCHI,TEMP,0,2,0,0,13,18,1,7,46,54,0,5,1,0
SARM,ARGJ,0,0,0,0,8,10,4,2,49,51,5,3,0,0
BEL,GLP,0,1,0,0,19,9,8,5,58,42,4,3,0,0
IND,TIG,1,0,0,0,7,13,3,5,49,51,1,2,1,0
NOB,BAN,1,1,0,0,8,14,4,2,41,59,3,3,1,0
USF,GCM,1,0,0,0,17,12,7,5,59,41,4,2,1,1
ALDO,RAC,1,2,0,0,17,10,3,5,50,50,4,3,0,0
SMSJ,DYJ,2,2,0,0,12,11,3,5,65,35,2,5,0,0
CARP,ROS,2,0,0,0,10,15,6,5,49,51,3,1,0,0
EST,COL,0,0,0,0,15,4,1,0,69,31,3,2,0,0
VEL,CABJ,2,0,0,0,13,11,7,4,41,59,4,4,0,1
ARS,CRU,1,0,1,0,9,10,2,4,48,52,2,0,0,1
HUR,RAF,3,2,1,0,7,10,4,3,40,60,3,2,1,0
LAN,OBB,2,0,0,0,7,6,3,2,54,46,2,1,0,0
GLP,USF,5,2,0,0,14,8,8,5,58,42,1,4,0,1
BAN,SARM,0,0,0,0,15,9,7,2,61,39,4,3,0,0
ARGJ,QUI,0,2,0,0,12,11,1,5,65,35,5,3,1,0
COL,HUR,1,1,0,0,14,9,5,4,47,53,5,2,1,1
